"subject","click_order","RT","Accuracy"
27,1,2626.40893243243,0.797297297297297
27,2,2119.30658108108,0.77027027027027
27,3,2650.96668918919,0.554054054054054
28,1,1321.66197647059,0.8
28,2,2229.36837647059,0.647058823529412
28,3,2695.04215294118,0.682352941176471
29,1,829.8919375,0.975
29,2,1490.20745,0.8625
29,3,2416.1675875,0.6875
30,1,737.952883116883,0.948051948051948
30,2,2616.65880519481,0.922077922077922
30,3,3880.54031168831,0.766233766233766
31,1,850.212025316456,0.924050632911392
31,2,1404.11735443038,0.89873417721519
31,3,2312.84403797468,0.670886075949367
33,1,2264.62851351351,0.945945945945946
33,2,1777.05828378378,0.891891891891892
33,3,1804.94674324324,0.72972972972973
35,1,1251.23910126582,0.822784810126582
35,2,1951.7975443038,0.822784810126582
35,3,3061.46491139241,0.784810126582278
36,1,1912.43841891892,0.837837837837838
36,2,2111.89878378378,0.77027027027027
36,3,2716.9305,0.662162162162162
37,1,742.95223880597,0.940298507462687
37,2,2591.90295522388,0.880597014925373
37,3,3436.16407462687,0.82089552238806
38,1,3712.91296428571,0.964285714285714
38,2,3840.64041666667,0.952380952380952
38,3,5395.01880952381,0.69047619047619
39,1,1623.91861445783,0.578313253012048
39,2,1564.07428915663,0.614457831325301
39,3,1497.60009638554,0.530120481927711
40,1,477.242222222222,0.950617283950617
40,2,2659.71312345679,0.925925925925926
40,3,3415.84901234568,0.777777777777778
41,1,2728.43690666667,0.88
41,2,4984.24612,0.813333333333333
41,3,4092.65033333333,0.68
42,1,718.315423529412,0.929411764705882
42,2,1158.84851764706,0.941176470588235
42,3,1628.36334117647,0.882352941176471
43,1,1406.87548837209,0.883720930232558
43,2,1294.73305813953,0.744186046511628
43,3,1753.80059302326,0.686046511627907
44,1,1470.63669135802,0.901234567901235
44,2,2078.19009876543,0.728395061728395
44,3,2750.07411111111,0.790123456790123
45,1,719.259755555556,0.933333333333333
45,2,1851.58776666667,0.844444444444444
45,3,2530.33018888889,0.766666666666667
46,1,812.030764705882,0.788235294117647
46,2,1505.59112941176,0.835294117647059
46,3,1923.63322352941,0.764705882352941
47,1,800.286707865169,0.955056179775281
47,2,1102.34334831461,0.966292134831461
47,3,1157.4676741573,0.842696629213483
48,1,1246.5900212766,1
48,2,2636.6420212766,0.861702127659574
48,3,4198.51924468085,0.797872340425532
49,1,703.438170454545,0.75
49,2,1221.49973863636,0.579545454545455
49,3,1368.322875,0.625
50,1,1709.73372413793,0.896551724137931
50,2,2902.58650574713,0.862068965517241
50,3,4803.90779310345,0.804597701149425
51,1,1633.79237681159,0.985507246376812
51,2,3499.57568115942,0.884057971014493
51,3,6290.27230434783,0.811594202898551
52,1,2434.58494666667,0.893333333333333
52,2,1724.52484,0.866666666666667
52,3,2375.28309333333,0.826666666666667
53,1,1710.36138888889,0.888888888888889
53,2,1724.5969,0.844444444444444
53,3,2474.62958888889,0.733333333333333
54,1,317.833736263736,0.956043956043956
54,2,1224.8150989011,0.923076923076923
54,3,1665.53740659341,0.813186813186813
57,1,1139.9753125,0.953125
57,2,2188.672578125,0.90625
57,3,3168.27896875,0.796875
58,1,877.55667816092,0.862068965517241
58,2,908.868551724138,0.896551724137931
58,3,981.336540229885,0.885057471264368
