"subject","click_order","RT","Accuracy"
59,1,842.671625,0.875
59,2,1437.82903409091,0.920454545454545
59,3,1789.259125,0.761363636363636
60,1,1270.60072151899,1
60,2,1655.32230379747,0.911392405063291
60,3,2059.47282278481,0.759493670886076
61,1,971.3641,0.9
61,2,1605.06583333333,0.722222222222222
61,3,2240.32251111111,0.6
62,1,2648.9565862069,0.913793103448276
62,2,4018.57667241379,0.862068965517241
62,3,4653.36568965517,0.672413793103448
63,1,1381.28143617021,0.925531914893617
63,2,1638.54661702128,0.712765957446808
63,3,1803.97444680851,0.691489361702128
64,1,359.5722375,0.9125
64,2,1599.741575,0.75
64,3,2511.1004375,0.75
65,1,542.240975903614,0.927710843373494
65,2,1215.61604819277,0.734939759036145
65,3,1841.35789156627,0.566265060240964
66,1,1405.83832467532,0.844155844155844
66,2,1684.17346753247,0.688311688311688
66,3,2093.63092207792,0.545454545454545
67,1,697.970621052632,0.863157894736842
67,2,1694.47975789474,0.810526315789474
67,3,1771.14769473684,0.694736842105263
68,1,1717.85752,0.96
68,2,3107.1624,0.84
68,3,3696.9354,0.6
69,1,1604.87751785714,0.946428571428571
69,2,1651.32589285714,0.857142857142857
69,3,1875.49078571429,0.821428571428571
70,1,1255.85506779661,0.88135593220339
70,2,1373.61286440678,0.813559322033898
70,3,2116.43827118644,0.745762711864407
71,1,800.630202702703,0.945945945945946
71,2,1515.35336486486,0.783783783783784
71,3,1858.09175675676,0.77027027027027
72,1,1029.061,0.916666666666667
72,2,1633.36973611111,0.805555555555556
72,3,1941.47395833333,0.805555555555556
73,1,1962.54950724638,0.91304347826087
73,2,3248.50324637681,0.72463768115942
73,3,2578.5951884058,0.652173913043478
74,1,700.474618421053,0.697368421052632
74,2,1496.62596052632,0.671052631578947
74,3,2043.81201315789,0.513157894736842
76,1,1976.34688,0.946666666666667
76,2,3633.50436,0.826666666666667
76,3,3066.23282666667,0.72
77,1,1697.89602857143,0.928571428571429
77,2,1427.70447142857,0.828571428571429
77,3,2279.42847142857,0.685714285714286
78,1,1039.40214492754,0.956521739130435
78,2,1811.26542028986,0.840579710144927
78,3,2237.76133333333,0.753623188405797
79,1,1648.57181111111,0.9
79,2,1883.16375555556,0.866666666666667
79,3,2463.46397777778,0.666666666666667
80,1,1472.02157471264,0.919540229885057
80,2,1431.9157816092,0.919540229885057
80,3,1730.18385057471,0.735632183908046
81,1,2703.05073170732,0.853658536585366
81,2,2673.40204878049,0.853658536585366
81,3,3684.02542682927,0.731707317073171
82,1,766.610178571429,0.964285714285714
82,2,2859.59089285714,0.928571428571429
82,3,3934.7515,0.738095238095238
83,1,3557.03735294118,0.917647058823529
83,2,2834.23830588235,0.811764705882353
83,3,3320.97791764706,0.717647058823529
84,1,1237.64106976744,0.86046511627907
84,2,2007.44258139535,0.732558139534884
84,3,2012.40686046512,0.651162790697674
85,1,927.586643678161,0.804597701149425
85,2,1514.27795402299,0.781609195402299
85,3,1735.80331034483,0.666666666666667
86,1,2884.64046341463,0.926829268292683
86,2,2797.07663414634,0.841463414634146
86,3,4106.66337804878,0.658536585365854
87,1,1354.00207526882,0.946236559139785
87,2,1476.20634408602,0.913978494623656
87,3,2009.24078494624,0.709677419354839
88,1,1072.92035227273,0.920454545454545
88,2,2211.80106818182,0.886363636363636
88,3,2941.74642045455,0.727272727272727
89,1,932.138263157895,0.894736842105263
89,2,1262.11449473684,0.810526315789474
89,3,1973.78642105263,0.694736842105263
90,1,943.416458333333,0.75
90,2,1400.04557291667,0.65625
90,3,1574.46735416667,0.510416666666667
91,1,1068.98329473684,0.884210526315789
91,2,1648.95470526316,0.768421052631579
91,3,1887.45585263158,0.652631578947368
