participant,trial_count,line_width,line_id,line_orientation
27,0,1.3333,r1c0_bottom_left,back_slash
27,0,1.3333,r1c3_bottom_left,back_slash
27,0,1.3333,r2c1_right,vertical
27,0,1.3333,r3c0_right,vertical
27,1,1.0,r0c2_bottom_left,back_slash
27,1,1.6667,r0c0_bottom_right,forward_slash
27,1,1.6667,r1c2_bottom_left,back_slash
27,1,1.6667,r3c2_right,vertical
27,2,1.3333,r0c2_bottom_left,back_slash
27,2,1.3333,r0c3_bottom_left,back_slash
27,2,1.3333,r1c2_bottom_right,forward_slash
27,2,1.3333,r2c1_bottom_left,back_slash
27,3,1.0,r0c0_right,vertical
27,3,1.0,r2c2_right,vertical
27,3,1.3333,r1c1_bottom_right,forward_slash
27,4,1.0,r2c1_right,vertical
27,4,1.3333,r2c3_bottom_left,back_slash
27,4,1.3333,r3c2_right,vertical
27,5,1.0,r0c2_bottom_right,forward_slash
27,5,1.0,r1c2_bottom_left,back_slash
27,5,1.0,r2c0_bottom_right,forward_slash
27,5,1.0,r2c1_bottom_right,forward_slash
27,6,1.0,r1c1_bottom_right,forward_slash
27,6,1.0,r1c2_right,vertical
27,6,1.3333,r0c2_bottom_right,forward_slash
27,6,1.3333,r2c0_right,vertical
27,6,1.3333,r2c3_bottom_left,back_slash
27,7,1.0,r0c2_bottom_right,forward_slash
27,7,1.0,r1c1_bottom_right,forward_slash
27,7,1.3333,r0c0_right,vertical
27,8,1.3333,r0c3_bottom_right,forward_slash
27,8,1.3333,r1c1_bottom_left,back_slash
27,8,1.3333,r1c2_bottom_left,back_slash
27,8,1.3333,r2c2_bottom_left,back_slash
27,9,1.0,r0c2_right,vertical
27,9,1.3333,r1c2_right,vertical
27,9,1.3333,r2c3_bottom_right,forward_slash
27,10,1.3333,r0c1_bottom_right,forward_slash
27,10,1.3333,r2c1_bottom_right,forward_slash
27,10,1.3333,r3c0_right,vertical
27,10,1.3333,r3c1_right,vertical
27,11,1.3333,r0c2_bottom_right,forward_slash
27,11,1.3333,r0c3_bottom_left,back_slash
27,11,1.3333,r0c3_bottom_right,forward_slash
27,11,1.3333,r1c2_bottom_right,forward_slash
27,11,1.3333,r2c0_right,vertical
27,12,1.0,r1c2_bottom_right,forward_slash
27,12,1.3333,r1c1_bottom_right,forward_slash
27,12,1.3333,r2c2_bottom_right,forward_slash
27,12,1.3333,r3c0_right,vertical
27,13,1.0,r0c1_right,vertical
27,13,1.0,r1c2_bottom_right,forward_slash
27,13,1.0,r2c2_bottom_right,forward_slash
27,14,1.3333,r0c3_bottom_left,back_slash
27,14,1.3333,r2c2_bottom_left,back_slash
27,14,1.6667,r1c1_right,vertical
27,15,1.3333,r0c3_bottom_left,back_slash
27,15,1.3333,r1c2_right,vertical
27,15,1.6667,r0c2_bottom_right,forward_slash
27,15,1.6667,r2c0_bottom_right,forward_slash
27,16,1.0,r0c2_right,vertical
27,16,1.0,r1c2_bottom_right,forward_slash
27,16,1.3333,r2c0_bottom_right,forward_slash
27,16,1.3333,r2c3_bottom_left,back_slash
27,17,1.3333,r0c2_bottom_right,forward_slash
