"participant","trial_count","line_width","line_id","line_orientation","drop_marker"
27,1,1,"r0c2_bottom_left","back_slash","27_1"
27,1,1.6667,"r0c0_bottom_right","forward_slash","27_1"
27,1,1.6667,"r1c2_bottom_left","back_slash","27_1"
27,1,1.6667,"r3c2_right","vertical","27_1"
27,3,1,"r0c0_right","vertical","27_3"
27,3,1,"r2c2_right","vertical","27_3"
27,3,1.3333,"r1c1_bottom_right","forward_slash","27_3"
27,4,1,"r2c1_right","vertical","27_4"
27,4,1.3333,"r2c3_bottom_left","back_slash","27_4"
27,4,1.3333,"r3c2_right","vertical","27_4"
27,5,1,"r0c2_bottom_right","forward_slash","27_5"
27,5,1,"r1c2_bottom_left","back_slash","27_5"
27,5,1,"r2c0_bottom_right","forward_slash","27_5"
27,5,1,"r2c1_bottom_right","forward_slash","27_5"
27,7,1,"r0c2_bottom_right","forward_slash","27_7"
27,7,1,"r1c1_bottom_right","forward_slash","27_7"
27,7,1.3333,"r0c0_right","vertical","27_7"
27,8,1.3333,"r0c3_bottom_right","forward_slash","27_8"
27,8,1.3333,"r1c1_bottom_left","back_slash","27_8"
27,8,1.3333,"r1c2_bottom_left","back_slash","27_8"
27,8,1.3333,"r2c2_bottom_left","back_slash","27_8"
27,9,1,"r0c2_right","vertical","27_9"
27,9,1.3333,"r1c2_right","vertical","27_9"
27,9,1.3333,"r2c3_bottom_right","forward_slash","27_9"
27,12,1,"r1c2_bottom_right","forward_slash","27_12"
27,12,1.3333,"r1c1_bottom_right","forward_slash","27_12"
27,12,1.3333,"r2c2_bottom_right","forward_slash","27_12"
27,12,1.3333,"r3c0_right","vertical","27_12"
27,13,1,"r0c1_right","vertical","27_13"
27,13,1,"r1c2_bottom_right","forward_slash","27_13"
27,13,1,"r2c2_bottom_right","forward_slash","27_13"
27,16,1,"r0c2_right","vertical","27_16"
27,16,1,"r1c2_bottom_right","forward_slash","27_16"
27,16,1.3333,"r2c0_bottom_right","forward_slash","27_16"
27,16,1.3333,"r2c3_bottom_left","back_slash","27_16"
27,17,1.3333,"r0c2_bottom_right","forward_slash","27_17"
27,17,2,"r1c0_right","vertical","27_17"
27,17,2,"r1c1_bottom_left","back_slash","27_17"
27,17,2,"r2c0_bottom_right","forward_slash","27_17"
27,17,2,"r2c1_right","vertical","27_17"
27,17,2,"r2c2_bottom_left","back_slash","27_17"
27,17,2,"r3c2_right","vertical","27_17"
27,19,1.3333,"r2c3_bottom_right","forward_slash","27_19"
27,19,1.6667,"r0c0_right","vertical","27_19"
27,19,1.6667,"r2c3_bottom_left","back_slash","27_19"
27,20,1,"r1c0_bottom_right","forward_slash","27_20"
27,20,1.3333,"r0c1_bottom_left","back_slash","27_20"
27,20,1.3333,"r0c2_bottom_left","back_slash","27_20"
27,20,1.3333,"r0c3_bottom_left","back_slash","27_20"
27,20,1.3333,"r1c1_right","vertical","27_20"
27,20,1.3333,"r3c2_right","vertical","27_20"
27,21,1,"r2c2_bottom_right","forward_slash","27_21"
27,21,1,"r3c2_right","vertical","27_21"
27,21,1.3333,"r1c1_bottom_left","back_slash","27_21"
27,21,1.3333,"r1c2_bottom_left","back_slash","27_21"
27,22,1,"r0c1_bottom_left","back_slash","27_22"
27,22,1.3333,"r0c2_bottom_right","forward_slash","27_22"
27,22,1.3333,"r1c2_right","vertical","27_22"
27,24,1.3333,"r0c1_bottom_left","back_slash","27_24"
27,24,1.3333,"r1c3_bottom_left","back_slash","27_24"
27,24,1.3333,"r2c1_bottom_left","back_slash","27_24"
27,24,1.3333,"r2c1_right","vertical","27_24"
27,25,1,"r1c1_bottom_right","forward_slash","27_25"
27,25,1.3333,"r0c2_right","vertical","27_25"
27,25,1.6667,"r2c2_bottom_left","back_slash","27_25"
27,25,1.6667,"r3c0_right","vertical","27_25"
27,26,1.3333,"r1c0_bottom_left","back_slash","27_26"
27,26,1.3333,"r1c2_bottom_right","forward_slash","27_26"
27,26,1.3333,"r2c3_bottom_right","forward_slash","27_26"
27,27,1,"r2c3_bottom_right","forward_slash","27_27"
27,27,1.3333,"r0c2_bottom_left","back_slash","27_27"
27,27,1.3333,"r2c2_right","vertical","27_27"
27,28,1,"r2c1_right","vertical","27_28"
27,28,1.3333,"r2c1_bottom_right","forward_slash","27_28"
27,28,1.3333,"r3c2_right","vertical","27_28"
27,29,1.3333,"r0c2_bottom_left","back_slash","27_29"
27,29,1.3333,"r1c1_bottom_left","back_slash","27_29"
27,29,1.3333,"r2c0_right","vertical","27_29"
27,29,1.3333,"r2c3_bottom_left","back_slash","27_29"
27,30,1.3333,"r1c1_bottom_left","back_slash","27_30"
27,30,1.6667,"r2c2_right","vertical","27_30"
27,30,1.6667,"r2c3_bottom_right","forward_slash","27_30"
27,31,1.6667,"r0c0_right","vertical","27_31"
27,31,1.6667,"r1c0_bottom_right","forward_slash","27_31"
27,31,1.6667,"r2c3_bottom_right","forward_slash","27_31"
27,31,1.6667,"r3c2_right","vertical","27_31"
27,32,1,"r2c0_bottom_right","forward_slash","27_32"
27,32,1,"r2c3_bottom_left","back_slash","27_32"
27,32,1.6667,"r0c1_bottom_right","forward_slash","27_32"
27,32,1.6667,"r1c2_bottom_right","forward_slash","27_32"
27,32,1.6667,"r2c1_bottom_left","back_slash","27_32"
27,32,1.6667,"r2c1_right","vertical","27_32"
27,32,1.6667,"r2c3_bottom_right","forward_slash","27_32"
27,33,1,"r0c0_right","vertical","27_33"
27,33,1.3333,"r2c0_bottom_right","forward_slash","27_33"
27,33,1.3333,"r2c2_right","vertical","27_33"
27,33,1.3333,"r3c0_right","vertical","27_33"
27,33,1.3333,"r3c1_right","vertical","27_33"
27,34,1,"r0c3_bottom_left","back_slash","27_34"
27,34,1,"r1c3_bottom_left","back_slash","27_34"
27,34,1.3333,"r2c1_right","vertical","27_34"
27,35,1,"r2c0_bottom_right","forward_slash","27_35"
27,35,1.3333,"r0c1_right","vertical","27_35"
27,35,1.3333,"r1c0_bottom_left","back_slash","27_35"
27,36,1,"r2c3_bottom_left","back_slash","27_36"
27,36,1.3333,"r1c2_bottom_left","back_slash","27_36"
27,36,1.3333,"r1c2_bottom_right","forward_slash","27_36"
27,36,1.3333,"r2c0_right","vertical","27_36"
27,36,1.3333,"r2c1_right","vertical","27_36"
27,37,1.3333,"r1c0_bottom_right","forward_slash","27_37"
27,37,1.3333,"r1c1_right","vertical","27_37"
27,37,1.3333,"r3c0_right","vertical","27_37"
27,38,1,"r0c1_right","vertical","27_38"
27,38,1.3333,"r1c3_bottom_left","back_slash","27_38"
27,38,1.3333,"r3c1_right","vertical","27_38"
27,39,1.3333,"r2c3_bottom_right","forward_slash","27_39"
27,39,1.6667,"r0c1_bottom_left","back_slash","27_39"
27,39,1.6667,"r0c2_right","vertical","27_39"
27,39,1.6667,"r1c3_bottom_left","back_slash","27_39"
27,39,1.6667,"r2c1_bottom_right","forward_slash","27_39"
27,39,1.6667,"r2c3_bottom_left","back_slash","27_39"
27,42,1,"r1c2_right","vertical","27_42"
27,42,1.3333,"r0c2_bottom_right","forward_slash","27_42"
27,42,1.3333,"r2c2_bottom_left","back_slash","27_42"
27,42,1.3333,"r2c3_bottom_left","back_slash","27_42"
27,43,1.3333,"r0c1_right","vertical","27_43"
27,43,1.3333,"r0c3_bottom_left","back_slash","27_43"
27,43,1.3333,"r3c2_right","vertical","27_43"
27,44,1.3333,"r1c0_bottom_left","back_slash","27_44"
27,44,1.3333,"r2c1_bottom_left","back_slash","27_44"
27,44,1.6667,"r1c1_bottom_left","back_slash","27_44"
27,45,1,"r3c1_right","vertical","27_45"
27,45,1.3333,"r0c3_bottom_right","forward_slash","27_45"
27,45,1.6667,"r0c1_right","vertical","27_45"
27,45,1.6667,"r1c2_bottom_left","back_slash","27_45"
27,45,1.6667,"r1c3_bottom_left","back_slash","27_45"
27,45,1.6667,"r2c0_right","vertical","27_45"
27,45,1.6667,"r2c2_bottom_left","back_slash","27_45"
27,45,1.6667,"r3c2_right","vertical","27_45"
27,46,1.3333,"r1c3_bottom_left","back_slash","27_46"
27,46,1.6667,"r0c2_bottom_right","forward_slash","27_46"
27,46,1.6667,"r3c1_right","vertical","27_46"
27,47,1,"r2c2_right","vertical","27_47"
27,47,1.3333,"r0c2_bottom_left","back_slash","27_47"
27,47,1.3333,"r1c0_bottom_left","back_slash","27_47"
27,47,1.3333,"r1c3_bottom_left","back_slash","27_47"
27,47,1.3333,"r2c1_right","vertical","27_47"
27,47,1.3333,"r3c2_right","vertical","27_47"
27,49,1.3333,"r0c0_bottom_right","forward_slash","27_49"
