"participant","quadrant","count","proportion"
27,"I",20,0.0222222222222222
27,"II",26,0.0288888888888889
27,"III",22,0.0244444444444444
27,"IV",35,0.0388888888888889
27,"x_axis",79,0.0438888888888889
27,"y_axis",22,0.0244444444444444
28,"I",34,0.0377777777777778
28,"II",39,0.0433333333333333
28,"III",19,0.0211111111111111
28,"IV",29,0.0322222222222222
28,"x_axis",65,0.0361111111111111
28,"y_axis",28,0.0311111111111111
29,"I",41,0.0455555555555556
29,"II",32,0.0355555555555556
29,"III",15,0.0166666666666667
29,"IV",31,0.0344444444444444
29,"x_axis",59,0.0327777777777778
29,"y_axis",35,0.0388888888888889
30,"I",29,0.0322222222222222
30,"II",23,0.0255555555555556
30,"III",12,0.0133333333333333
30,"IV",29,0.0322222222222222
30,"x_axis",47,0.0261111111111111
30,"y_axis",36,0.04
31,"I",45,0.05
31,"II",35,0.0388888888888889
31,"III",19,0.0211111111111111
31,"IV",27,0.03
31,"x_axis",66,0.0366666666666667
31,"y_axis",38,0.0422222222222222
32,"I",27,0.03
32,"II",31,0.0344444444444444
32,"III",12,0.0133333333333333
32,"IV",21,0.0233333333333333
32,"x_axis",50,0.0277777777777778
32,"y_axis",37,0.0411111111111111
33,"I",32,0.0355555555555556
33,"II",38,0.0422222222222222
33,"III",32,0.0355555555555556
33,"IV",20,0.0222222222222222
33,"x_axis",61,0.0338888888888889
33,"y_axis",29,0.0322222222222222
35,"I",21,0.0233333333333333
35,"II",38,0.0422222222222222
35,"III",21,0.0233333333333333
35,"IV",20,0.0222222222222222
35,"x_axis",73,0.0405555555555556
35,"y_axis",28,0.0311111111111111
36,"I",25,0.0277777777777778
36,"II",18,0.02
36,"III",29,0.0322222222222222
36,"IV",18,0.02
36,"x_axis",63,0.035
36,"y_axis",30,0.0333333333333333
37,"I",25,0.0277777777777778
37,"II",34,0.0377777777777778
37,"III",19,0.0211111111111111
37,"IV",28,0.0311111111111111
37,"x_axis",61,0.0338888888888889
37,"y_axis",38,0.0422222222222222
38,"I",24,0.0266666666666667
38,"II",26,0.0288888888888889
38,"III",36,0.04
38,"IV",28,0.0311111111111111
38,"x_axis",54,0.03
38,"y_axis",28,0.0311111111111111
39,"I",22,0.0244444444444444
39,"II",12,0.0133333333333333
39,"III",9,0.01
39,"IV",21,0.0233333333333333
39,"x_axis",37,0.0205555555555556
39,"y_axis",21,0.0233333333333333
40,"I",23,0.0255555555555556
40,"II",29,0.0322222222222222
40,"III",22,0.0244444444444444
40,"IV",25,0.0277777777777778
40,"x_axis",46,0.0255555555555556
40,"y_axis",21,0.0233333333333333
41,"I",24,0.0266666666666667
41,"II",25,0.0277777777777778
41,"III",30,0.0333333333333333
41,"IV",27,0.03
41,"x_axis",49,0.0272222222222222
41,"y_axis",31,0.0344444444444444
42,"I",39,0.0433333333333333
42,"II",35,0.0388888888888889
42,"III",22,0.0244444444444444
42,"IV",37,0.0411111111111111
42,"x_axis",62,0.0344444444444444
42,"y_axis",30,0.0333333333333333
43,"I",30,0.0333333333333333
43,"II",39,0.0433333333333333
43,"III",20,0.0222222222222222
43,"IV",15,0.0166666666666667
43,"x_axis",72,0.04
43,"y_axis",27,0.03
44,"I",30,0.0333333333333333
44,"II",25,0.0277777777777778
44,"III",17,0.0188888888888889
44,"IV",32,0.0355555555555556
44,"x_axis",80,0.0444444444444444
44,"y_axis",41,0.0455555555555556
45,"I",34,0.0377777777777778
