"participant","quadrant","count","proportion"
45,"II",26,0.0288888888888889
45,"III",15,0.0166666666666667
45,"IV",29,0.0322222222222222
45,"x_axis",76,0.0422222222222222
45,"y_axis",38,0.0422222222222222
46,"I",29,0.0322222222222222
46,"II",58,0.0644444444444444
46,"III",17,0.0188888888888889
46,"IV",17,0.0188888888888889
46,"x_axis",62,0.0344444444444444
46,"y_axis",32,0.0355555555555556
47,"I",32,0.0355555555555556
47,"II",41,0.0455555555555556
47,"III",29,0.0322222222222222
47,"IV",28,0.0311111111111111
47,"x_axis",75,0.0416666666666667
47,"y_axis",38,0.0422222222222222
48,"I",27,0.03
48,"II",39,0.0433333333333333
48,"III",27,0.03
48,"IV",25,0.0277777777777778
48,"x_axis",60,0.0333333333333333
48,"y_axis",24,0.0266666666666667
49,"I",26,0.0288888888888889
49,"II",23,0.0255555555555556
49,"III",24,0.0266666666666667
49,"IV",35,0.0388888888888889
49,"x_axis",72,0.04
49,"y_axis",29,0.0322222222222222
50,"I",44,0.0488888888888889
50,"II",28,0.0311111111111111
50,"III",24,0.0266666666666667
50,"IV",25,0.0277777777777778
50,"x_axis",49,0.0272222222222222
50,"y_axis",26,0.0288888888888889
51,"I",23,0.0255555555555556
51,"II",30,0.0333333333333333
51,"III",24,0.0266666666666667
51,"IV",28,0.0311111111111111
51,"x_axis",54,0.03
51,"y_axis",32,0.0355555555555556
52,"I",27,0.03
52,"II",33,0.0366666666666667
52,"III",29,0.0322222222222222
52,"IV",26,0.0288888888888889
52,"x_axis",59,0.0327777777777778
52,"y_axis",38,0.0422222222222222
53,"I",27,0.03
53,"II",26,0.0288888888888889
53,"III",26,0.0288888888888889
53,"IV",34,0.0377777777777778
53,"x_axis",72,0.04
53,"y_axis",27,0.03
54,"I",38,0.0422222222222222
54,"II",42,0.0466666666666667
54,"III",28,0.0311111111111111
54,"IV",25,0.0277777777777778
54,"x_axis",59,0.0327777777777778
54,"y_axis",33,0.0366666666666667
57,"I",26,0.0288888888888889
57,"II",28,0.0311111111111111
57,"III",28,0.0311111111111111
57,"IV",29,0.0322222222222222
57,"x_axis",63,0.035
57,"y_axis",37,0.0411111111111111
58,"I",37,0.0411111111111111
58,"II",25,0.0277777777777778
58,"III",44,0.0488888888888889
58,"IV",32,0.0355555555555556
58,"x_axis",71,0.0394444444444444
58,"y_axis",39,0.0433333333333333
