"subject","prompt_rt_sec","selection_rt_ms","accuracy"
27,1.63575099299967,6997.1433875,0.708333333333333
28,2.55699793230787,4853.57857948718,0.706093189964158
29,6.39334515219522,3687.67139512195,0.840425531914894
30,16.7675138768041,5452.28940979381,0.888888888888889
31,6.23088126424872,3810.35266321244,0.837037037037037
32,5.31663705426998,3515.98920523416,0.846899224806202
33,5.19132818605764,5130.43225,0.85663082437276
35,4.82866050208334,4952.6855703125,0.822222222222222
36,0.449963335922361,6306.69721359223,0.753623188405797
37,3.19545646090902,5626.29239545455,0.867383512544803
38,1.14266993282828,10342.9145429293,0.863799283154122
39,0.558054742997356,3992.59244444444,0.5625
40,3.08418705130922,4751.86996596859,0.888888888888889
41,2.21209905495043,9942.7400470297,0.804347826086957
42,15.3144672533329,2954.58883846154,0.921146953405018
43,1.76963014264716,3811.55180392157,0.78125
44,2.75337434378232,4854.80316486486,0.810606060606061
45,3.39949664829303,3919.7252,0.843537414965986
46,1.40975615396038,3649.05846782178,0.789473684210526
47,10.5498651575,2616.785805,0.920138888888889
48,3.89392009639169,5731.01004123711,0.888888888888889
49,1.56634205395349,2846.41015348837,0.65
50,2.76747521827956,6699.93882526882,0.857142857142857
51,2.08535734768386,8774.16719212963,0.903225806451613
52,6.85113555876287,5643.18497164948,0.856060606060606
53,7.65160951117101,4664.99582180851,0.818840579710145
54,10.1120188888318,2512.30215228426,0.899305555555556
57,2.87767794234179,6065.44894144144,0.875457875457876
58,20.1633065226126,2274.72421859296,0.88421052631579
