"subject","date","overall_time","trial_count","click_order","prompt_rt_sec","selection_rt_ms","pressed_object","line_width","top_x","top_y","bottom_x","bottom_y","line_id","line_orientation","selected_or_released","accuracy","possible_thinnest_lines","is_practice","drop_marker","indecision_trial","accuracy_type","selection_rt_ms_relative","accuracy_numeric"
27,"2021_Oct_13_1358","0 days 00:03:25.437133000",1,1,7.4955248000042,2880.691,"line",1.6667,-204.596567073625,280,-302.298283536813,210.326657894522,"r0c0_bottom_right","forward_slash","selected",NA,4,"False","27_1",0,"hit",2880.691,1
27,"2021_Oct_13_1358","0 days 00:03:27.807610000",1,2,7.4955248000042,5251.168,"line",1,-9.19313414725039,280,88.508582315937,210.326657894522,"r0c2_bottom_left","back_slash","selected",NA,4,"False","27_1",0,"hit",2370.477,1
27,"2021_Oct_13_1358","0 days 00:03:35.915302000",1,3,7.4955248000042,13358.86,"line",1.6667,88.508582315937,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_left","back_slash","selected",NA,4,"False","27_1",0,"hit",8107.692,1
27,"2021_Oct_13_1358","0 days 00:04:34.774233000",3,1,2.42121659999248,10441.178,"line",1,-204.596567073625,400,-204.596567073625,280,"r0c0_right","vertical","selected",NA,3,"False","27_3",0,"hit",10441.178,1
27,"2021_Oct_13_1358","0 days 00:04:37.176477000",3,2,2.42121659999248,12843.422,"line",1.3333,88.508582315937,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_right","forward_slash","selected",NA,3,"False","27_3",0,"hit",2402.244,1
27,"2021_Oct_13_1358","0 days 00:04:40.046854000",3,3,2.42121659999248,15713.799,"line",1,186.210298779124,20.6533157890446,186.210298779124,-99.3466842109554,"r2c2_right","vertical","selected",NA,3,"False","27_3",0,"hit",2870.377,1
27,"2021_Oct_13_1358","0 days 00:05:07.908001000",4,1,8.03085989999818,7171.706,"line",1.3333,186.210298779124,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_left","back_slash","selected",NA,3,"False","27_4",0,"hit",7171.706,1
27,"2021_Oct_13_1358","0 days 00:05:09.242581000",4,2,8.03085989999818,8506.286,"line",1,-9.19313414725039,20.6533157890446,-9.19313414725039,-99.3466842109554,"r2c1_right","vertical","selected",NA,3,"False","27_4",0,"hit",1334.58,1
27,"2021_Oct_13_1358","0 days 00:05:20.352707000",4,3,8.03085989999818,19616.412,"line",1.6667,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","selected",NA,3,"False","27_4",0,"false_alarm",11110.126,0
27,"2021_Oct_13_1358","0 days 00:06:27.887780000",7,1,1.60921629999939,3401.6,"line",1,186.210298779124,280,88.508582315937,210.326657894522,"r0c2_bottom_right","forward_slash","selected",NA,3,"False","27_7",0,"hit",3401.6,1
27,"2021_Oct_13_1358","0 days 00:06:29.020996000",7,2,1.60921629999939,4534.816,"line",1,88.508582315937,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_right","forward_slash","selected",NA,3,"False","27_7",0,"hit",1133.216,1
27,"2021_Oct_13_1358","0 days 00:06:35.661631000",7,3,1.60921629999939,11175.451,"line",2,381.613731705499,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_right","forward_slash","selected",NA,3,"False","27_7",0,"false_alarm",6640.635,0
27,"2021_Oct_13_1358","0 days 00:08:59.754164000",12,1,1.04265149999992,2749.177,"line",1,283.912015242312,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_right","forward_slash","selected",NA,4,"False","27_12",0,"hit",2749.177,1
27,"2021_Oct_13_1358","0 days 00:09:00.555278000",12,2,1.04265149999992,3550.291,"line",1.3333,88.508582315937,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_right","forward_slash","selected",NA,4,"False","27_12",0,"hit",801.114,1
27,"2021_Oct_13_1358","0 days 00:09:04.760535000",12,3,1.04265149999992,7755.548,"line",1.3333,186.210298779124,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_right","forward_slash","selected",NA,4,"False","27_12",0,"hit",4205.257,1
27,"2021_Oct_13_1358","0 days 00:09:25.663470000",13,1,13.5790474000096,3030.931,"line",1,-9.19313414725039,400,-9.19313414725039,280,"r0c1_right","vertical","selected",NA,3,"False","27_13",0,"hit",3030.931,1
27,"2021_Oct_13_1358","0 days 00:09:27.198303000",13,2,13.5790474000096,4565.764,"line",1,283.912015242312,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_right","forward_slash","selected",NA,3,"False","27_13",0,"hit",1534.833,1
27,"2021_Oct_13_1358","0 days 00:09:27.783240000",13,3,13.5790474000096,5150.701,"line",1,186.210298779124,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_right","forward_slash","selected",NA,3,"False","27_13",0,"hit",584.937,1
27,"2021_Oct_13_1358","0 days 00:11:02.309699000",16,1,0.934019499996793,5369.67,"line",1,283.912015242312,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_right","forward_slash","selected",NA,4,"False","27_16",0,"hit",5369.67,1
27,"2021_Oct_13_1358","0 days 00:11:04.345932000",16,2,0.934019499996793,7405.903,"line",1.3333,186.210298779124,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_left","back_slash","selected",NA,4,"False","27_16",0,"hit",2036.233,1
27,"2021_Oct_13_1358","0 days 00:11:08.282507000",16,3,0.934019499996793,11342.478,"line",1,186.210298779124,400,186.210298779124,280,"r0c2_right","vertical","selected",NA,4,"False","27_16",0,"hit",3936.575,1
27,"2021_Oct_13_1358","0 days 00:11:29.837664000",17,1,0.739987099994323,17431.699,"line",1.3333,186.210298779124,280,88.508582315937,210.326657894522,"r0c2_bottom_right","forward_slash","selected",NA,7,"False","27_17",0,"hit",17431.699,1
