"participant","line_orientation","accuracy_type","count"
1,"back_slash","miss_count",31
1,"forward_slash","miss_count",61
1,"vertical","miss_count",123
2,"back_slash","miss_count",20
2,"forward_slash","miss_count",31
2,"vertical","miss_count",102
3,"back_slash","miss_count",38
3,"forward_slash","miss_count",37
3,"vertical","miss_count",100
4,"back_slash","miss_count",45
4,"forward_slash","miss_count",27
4,"vertical","miss_count",139
5,"back_slash","miss_count",31
5,"forward_slash","miss_count",66
5,"vertical","miss_count",71
6,"back_slash","miss_count",27
6,"forward_slash","miss_count",27
6,"vertical","miss_count",115
7,"back_slash","miss_count",32
7,"forward_slash","miss_count",45
7,"vertical","miss_count",79
8,"back_slash","miss_count",33
8,"forward_slash","miss_count",40
8,"vertical","miss_count",114
9,"back_slash","miss_count",72
9,"forward_slash","miss_count",57
9,"vertical","miss_count",101
10,"back_slash","miss_count",47
10,"forward_slash","miss_count",22
10,"vertical","miss_count",100
11,"back_slash","miss_count",34
11,"forward_slash","miss_count",38
11,"vertical","miss_count",112
12,"back_slash","miss_count",35
12,"forward_slash","miss_count",42
12,"vertical","miss_count",95
13,"back_slash","miss_count",46
13,"forward_slash","miss_count",54
13,"vertical","miss_count",109
14,"back_slash","miss_count",44
14,"forward_slash","miss_count",31
14,"vertical","miss_count",126
15,"back_slash","miss_count",28
15,"forward_slash","miss_count",26
15,"vertical","miss_count",135
16,"back_slash","miss_count",72
16,"forward_slash","miss_count",27
16,"vertical","miss_count",123
17,"back_slash","miss_count",31
17,"forward_slash","miss_count",35
17,"vertical","miss_count",120
18,"back_slash","miss_count",22
18,"forward_slash","miss_count",35
18,"vertical","miss_count",124
19,"back_slash","miss_count",36
19,"forward_slash","miss_count",42
19,"vertical","miss_count",144
20,"back_slash","miss_count",30
20,"forward_slash","miss_count",25
20,"vertical","miss_count",89
21,"back_slash","miss_count",22
21,"forward_slash","miss_count",58
21,"vertical","miss_count",121
22,"back_slash","miss_count",48
22,"forward_slash","miss_count",45
22,"vertical","miss_count",111
23,"back_slash","miss_count",40
23,"forward_slash","miss_count",49
23,"vertical","miss_count",116
24,"back_slash","miss_count",47
24,"forward_slash","miss_count",36
24,"vertical","miss_count",95
25,"back_slash","miss_count",22
25,"forward_slash","miss_count",38
25,"vertical","miss_count",103
26,"back_slash","miss_count",39
26,"forward_slash","miss_count",27
26,"vertical","miss_count",106
91,"back_slash","miss_count",20
91,"forward_slash","miss_count",16
91,"vertical","miss_count",131
92,"back_slash","miss_count",47
92,"forward_slash","miss_count",37
92,"vertical","miss_count",126
93,"back_slash","miss_count",45
