"participant","line_orientation","accuracy_type","count"
93,"forward_slash","miss_count",40
93,"vertical","miss_count",126
94,"back_slash","miss_count",30
94,"forward_slash","miss_count",23
94,"vertical","miss_count",124
99,"back_slash","miss_count",30
99,"forward_slash","miss_count",23
99,"vertical","miss_count",124
1,"back_slash","hits",86
1,"forward_slash","hits",92
1,"vertical","hits",34
2,"back_slash","hits",95
2,"forward_slash","hits",104
2,"vertical","hits",40
3,"back_slash","hits",96
3,"forward_slash","hits",98
3,"vertical","hits",25
4,"back_slash","hits",97
4,"forward_slash","hits",129
4,"vertical","hits",25
5,"back_slash","hits",90
5,"forward_slash","hits",90
5,"vertical","hits",63
6,"back_slash","hits",86
6,"forward_slash","hits",121
6,"vertical","hits",28
7,"back_slash","hits",84
7,"forward_slash","hits",87
7,"vertical","hits",43
8,"back_slash","hits",101
8,"forward_slash","hits",110
8,"vertical","hits",22
9,"back_slash","hits",78
9,"forward_slash","hits",88
9,"vertical","hits",52
10,"back_slash","hits",78
10,"forward_slash","hits",115
10,"vertical","hits",45
11,"back_slash","hits",84
11,"forward_slash","hits",110
11,"vertical","hits",26
12,"back_slash","hits",103
12,"forward_slash","hits",102
12,"vertical","hits",52
13,"back_slash","hits",82
13,"forward_slash","hits",74
13,"vertical","hits",37
14,"back_slash","hits",82
14,"forward_slash","hits",122
14,"vertical","hits",26
15,"back_slash","hits",91
15,"forward_slash","hits",120
15,"vertical","hits",27
16,"back_slash","hits",73
16,"forward_slash","hits",105
16,"vertical","hits",45
17,"back_slash","hits",95
17,"forward_slash","hits",92
17,"vertical","hits",26
18,"back_slash","hits",106
18,"forward_slash","hits",100
18,"vertical","hits",27
19,"back_slash","hits",89
19,"forward_slash","hits",120
19,"vertical","hits",15
20,"back_slash","hits",89
20,"forward_slash","hits",109
20,"vertical","hits",29
21,"back_slash","hits",118
21,"forward_slash","hits",85
21,"vertical","hits",46
22,"back_slash","hits",69
22,"forward_slash","hits",117
22,"vertical","hits",41
23,"back_slash","hits",83
23,"forward_slash","hits",116
23,"vertical","hits",26
24,"back_slash","hits",75
24,"forward_slash","hits",103
24,"vertical","hits",68
25,"back_slash","hits",85
25,"forward_slash","hits",85
25,"vertical","hits",40
26,"back_slash","hits",90
26,"forward_slash","hits",98
26,"vertical","hits",51
91,"back_slash","hits",110
91,"forward_slash","hits",108
91,"vertical","hits",2
92,"back_slash","hits",80
92,"forward_slash","hits",112
92,"vertical","hits",26
93,"back_slash","hits",86
93,"forward_slash","hits",97
93,"vertical","hits",34
94,"back_slash","hits",93
94,"forward_slash","hits",108
94,"vertical","hits",29
99,"back_slash","hits",93
99,"forward_slash","hits",108
99,"vertical","hits",29
1,"back_slash","false_alarms",36
1,"forward_slash","false_alarms",40
1,"vertical","false_alarms",6
2,"back_slash","false_alarms",16
2,"forward_slash","false_alarms",18
2,"vertical","false_alarms",0
3,"back_slash","false_alarms",22
3,"forward_slash","false_alarms",47
3,"vertical","false_alarms",0
4,"back_slash","false_alarms",9
4,"forward_slash","false_alarms",37
4,"vertical","false_alarms",0
5,"back_slash","false_alarms",9
5,"forward_slash","false_alarms",6
5,"vertical","false_alarms",6
6,"back_slash","false_alarms",13
6,"forward_slash","false_alarms",21
6,"vertical","false_alarms",1
7,"back_slash","false_alarms",28
7,"forward_slash","false_alarms",17
7,"vertical","false_alarms",5
8,"back_slash","false_alarms",16
8,"forward_slash","false_alarms",25
8,"vertical","false_alarms",2
9,"back_slash","false_alarms",25
9,"forward_slash","false_alarms",42
9,"vertical","false_alarms",9
10,"back_slash","false_alarms",19
10,"forward_slash","false_alarms",22
10,"vertical","false_alarms",0
11,"back_slash","false_alarms",8
11,"forward_slash","false_alarms",30
11,"vertical","false_alarms",0
12,"back_slash","false_alarms",14
12,"forward_slash","false_alarms",29
12,"vertical","false_alarms",0
13,"back_slash","false_alarms",41
13,"forward_slash","false_alarms",39
13,"vertical","false_alarms",6
14,"back_slash","false_alarms",22
14,"forward_slash","false_alarms",29
14,"vertical","false_alarms",1
15,"back_slash","false_alarms",26
15,"forward_slash","false_alarms",24
15,"vertical","false_alarms",0
16,"back_slash","false_alarms",26
16,"forward_slash","false_alarms",45
16,"vertical","false_alarms",3
17,"back_slash","false_alarms",32
17,"forward_slash","false_alarms",16
17,"vertical","false_alarms",3
18,"back_slash","false_alarms",29
18,"forward_slash","false_alarms",11
18,"vertical","false_alarms",0
19,"back_slash","false_alarms",25
19,"forward_slash","false_alarms",39
19,"vertical","false_alarms",0
20,"back_slash","false_alarms",12
20,"forward_slash","false_alarms",19
20,"vertical","false_alarms",0
21,"back_slash","false_alarms",31
21,"forward_slash","false_alarms",8
21,"vertical","false_alarms",0
22,"back_slash","false_alarms",25
22,"forward_slash","false_alarms",29
22,"vertical","false_alarms",13
23,"back_slash","false_alarms",24
23,"forward_slash","false_alarms",24
23,"vertical","false_alarms",0
24,"back_slash","false_alarms",13
24,"forward_slash","false_alarms",19
24,"vertical","false_alarms",4
25,"back_slash","false_alarms",26
25,"forward_slash","false_alarms",23
25,"vertical","false_alarms",2
26,"back_slash","false_alarms",15
26,"forward_slash","false_alarms",31
26,"vertical","false_alarms",0
91,"back_slash","false_alarms",16
91,"forward_slash","false_alarms",37
91,"vertical","false_alarms",0
92,"back_slash","false_alarms",20
92,"forward_slash","false_alarms",60
92,"vertical","false_alarms",2
93,"back_slash","false_alarms",42
93,"forward_slash","false_alarms",34
93,"vertical","false_alarms",1
94,"back_slash","false_alarms",16
94,"forward_slash","false_alarms",36
94,"vertical","false_alarms",0
99,"back_slash","false_alarms",16
99,"forward_slash","false_alarms",36
99,"vertical","false_alarms",0
