"subject","prompt_rt_sec","selection_rt_ms","accuracy"
1,2.77166164162897,3715.13432352941,0.72108843537415
2,5.4056398358209,3329.72340298507,0.875457875457876
3,1.80363726651584,4842.89169230769,0.760416666666667
4,6.69212829853656,1978.45923902439,0.845117845117845
5,9.24561962463048,5585.65230788177,0.920454545454546
6,1.31261538582356,8870.4698908046,0.87037037037037
7,3.14590348480389,4905.65542647059,0.810606060606061
8,2.15049006281409,5111.37213316583,0.844202898550725
9,1.4369484645933,3584.10271052632,0.741496598639456
10,6.41481944497357,2718.95510846561,0.853046594982079
11,8.95040481614351,5051.06934977578,0.852713178294574
12,2.41385021179245,4183.7839740566,0.856666666666667
13,2.27064269010415,3200.86635677083,0.691756272401434
14,9.17725300151513,2365.59825,0.815602836879433
15,4.68669465276383,4279.10737688442,0.826388888888889
16,2.17860660990098,3460.88072029703,0.750841750841751
17,4.49514026236573,4829.40317473118,0.806818181818182
18,8.9371767158417,6721.81067326733,0.853479853479854
19,6.91352279590915,3216.24906818182,0.777777777777778
20,9.69350015286875,11385.6485901639,0.87984496124031
21,10.5993571343435,2508.52182828283,0.864583333333333
22,0.870403735323381,4526.63732089552,0.772108843537415
23,6.235304379,4553.5859075,0.824175824175824
24,2.6804426213068,11388.6340584192,0.872340425531915
25,4.01342415157895,6940.01497105263,0.804597701149425
26,2.45799231937997,5075.10901162791,0.83859649122807
91,5.14160322272669,4751.99141161616,0.805860805860806
92,1.88773996727273,3043.29538863636,0.726666666666667
93,1.72614594673366,4069.37833919598,0.738095238095238
94,1.4923810752408,5126.18506428571,0.815602836879433
99,1.4923810752408,5126.18506428571,0.815602836879433
