"anomaly_line_id","anomaly_mid_x","anomaly_mid_y"
"r0c1_bottom_right",-58.0439923788441,245.163328947261
"r0c2_bottom_left",39.6577240843433,245.163328947261
"r0c2_bottom_right",137.359440547531,245.163328947261
"r1c0_bottom_right",-155.745708842031,55.4899868417834
"r1c0_right",-106.894850610438,150.326657894522
"r1c1_bottom_left",-58.0439923788441,55.4899868417834
"r1c1_bottom_right",39.6577240843433,55.4899868417834
"r1c1_right",88.508582315937,150.326657894522
"r1c2_bottom_left",137.359440547531,55.4899868417834
"r1c2_bottom_right",235.061157010718,55.4899868417834
"r2c1_bottom_right",-58.0439923788441,-134.183355263694
"r2c1_right",-9.19313414725039,-39.3466842109554
"r2c2_bottom_left",39.6577240843433,-134.183355263694
"r2c2_bottom_right",137.359440547531,-134.183355263694
"r2c2_right",186.210298779124,-39.3466842109554
