"subject","date","overall_time","trial_count","click_order","prompt_rt_sec","selection_rt_ms","pressed_object","line_width","top_x","top_y","bottom_x","bottom_y","line_id","line_orientation","selected_or_released","accuracy","possible_thinnest_lines","is_practice","is_anomaly_trial","anomaly_mid_x","anomaly_mid_y","anomaly_line_id","anomaly_group","drop_marker","indecision_trial","accuracy_type","selection_rt_ms_relative","accuracy_numeric"
59,"2021_Oct_29_1030","0 days 00:03:50.701515000",0,1,20.1459838000001,2257.722,"line",1.3333,-204.596567073625,280,-302.298283536813,210.326657894522,"r0c0_bottom_right","forward_slash","selected",NA,5,"True","False",NA,NA,"",NA,"59_0",0,"hit",2257.722,1
59,"2021_Oct_29_1030","0 days 00:03:52.335821000",0,2,20.1459838000001,3892.028,"line",1.3333,-9.19313414725039,280,88.508582315937,210.326657894522,"r0c2_bottom_left","back_slash","selected",NA,5,"True","False",NA,NA,"",NA,"59_0",0,"hit",1634.306,1
59,"2021_Oct_29_1030","0 days 00:03:54.272049000",0,3,20.1459838000001,5828.256,"line",1.3333,186.210298779124,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_left","back_slash","selected",NA,5,"True","False",NA,NA,"",NA,"59_0",0,"hit",1936.228,1
59,"2021_Oct_29_1030","0 days 00:04:56.334246000",1,1,21.0608110000003,862.95,"line",1.6667,186.210298779124,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_left","back_slash","selected",NA,5,"False","False",NA,NA,"",NA,"59_1",0,"hit",862.95,1
59,"2021_Oct_29_1030","0 days 00:04:57.102628000",1,2,21.0608110000003,1631.332,"line",1.6667,186.210298779124,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_right","forward_slash","selected",NA,5,"False","False",NA,NA,"",NA,"59_1",0,"hit",768.382,1
59,"2021_Oct_29_1030","0 days 00:04:58.301994000",1,3,21.0608110000003,2830.698,"line",1.6667,186.210298779124,280,283.912015242312,210.326657894522,"r0c3_bottom_left","back_slash","selected",NA,5,"False","False",NA,NA,"",NA,"59_1",0,"hit",1199.366,1
59,"2021_Oct_29_1030","0 days 00:05:33.221589000",2,1,30.5078713999992,748.919,"line",1.6667,-9.19313414725039,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_left","back_slash","selected",NA,3,"False","False",NA,NA,"",NA,"59_2",0,"false_alarm",748.919,0
59,"2021_Oct_29_1030","0 days 00:05:34.087956000",2,2,30.5078713999992,1615.286,"line",2,-9.19313414725039,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_right","forward_slash","selected",NA,3,"False","False",NA,NA,"",NA,"59_2",0,"false_alarm",866.367,0
59,"2021_Oct_29_1030","0 days 00:05:35.689579000",2,3,30.5078713999992,3216.909,"line",1.3333,88.508582315937,210.326657894522,88.508582315937,90.3266578945223,"r1c1_right","vertical","selected",NA,3,"False","False",NA,NA,"",NA,"59_2",0,"hit",1601.623,1
59,"2021_Oct_29_1030","0 days 00:06:49.296766000",4,1,17.6819700000005,495.941,"line",1.3333,381.613731705499,280,283.912015242312,210.326657894522,"r0c3_bottom_right","forward_slash","selected",NA,4,"False","False",NA,NA,"",NA,"59_4",0,"hit",495.941,1
