participant,trial_count,line_width,line_id,line_orientation
84,24,1.3333,r2c1_bottom_left,back_slash
84,25,1.3333,r0c1_bottom_left,back_slash
84,25,1.3333,r1c2_right,vertical
84,25,1.3333,r2c1_bottom_right,forward_slash
84,25,1.3333,r3c1_right,vertical
84,26,1.3333,r1c0_bottom_left,back_slash
84,26,1.3333,r1c1_right,vertical
84,26,2.0,r0c0_right,vertical
84,26,2.0,r1c0_bottom_right,forward_slash
84,26,2.0,r1c0_right,vertical
84,26,2.0,r2c2_bottom_left,back_slash
84,26,2.0,r3c1_right,vertical
84,27,1.6667,r1c0_bottom_right,forward_slash
84,27,1.6667,r1c1_right,vertical
84,27,1.6667,r1c3_bottom_left,back_slash
84,27,1.6667,r3c0_right,vertical
84,28,1.0,r0c2_bottom_left,back_slash
84,28,1.3333,r0c3_bottom_left,back_slash
84,28,1.3333,r1c0_bottom_left,back_slash
84,28,1.3333,r1c1_bottom_right,forward_slash
84,29,1.0,r2c0_right,vertical
84,29,1.6667,r0c2_right,vertical
84,29,1.6667,r2c0_bottom_right,forward_slash
84,30,1.6667,r0c1_bottom_left,back_slash
84,30,2.0,r0c0_bottom_right,forward_slash
84,30,2.0,r0c2_bottom_right,forward_slash
84,30,2.0,r1c0_bottom_left,back_slash
84,30,2.0,r1c2_bottom_left,back_slash
84,30,2.0,r2c0_bottom_right,forward_slash
84,30,2.0,r2c0_right,vertical
84,30,2.0,r2c1_bottom_left,back_slash
84,30,2.0,r2c1_bottom_right,forward_slash
84,30,2.0,r2c2_bottom_right,forward_slash
84,30,2.0,r2c3_bottom_right,forward_slash
84,30,2.0,r3c2_right,vertical
84,31,1.0,r1c2_bottom_left,back_slash
84,31,1.3333,r0c3_bottom_left,back_slash
84,31,1.3333,r2c0_right,vertical
84,31,1.3333,r3c2_right,vertical
84,32,1.0,r1c1_bottom_right,forward_slash
84,32,1.0,r2c3_bottom_left,back_slash
84,32,1.3333,r0c1_right,vertical
84,32,1.3333,r1c3_bottom_left,back_slash
84,32,1.3333,r2c0_right,vertical
84,33,1.3333,r0c3_bottom_right,forward_slash
84,33,1.3333,r1c3_bottom_left,back_slash
84,33,1.3333,r2c1_bottom_left,back_slash
84,34,1.0,r0c2_bottom_left,back_slash
84,34,1.0,r1c3_bottom_left,back_slash
84,34,1.3333,r0c1_bottom_left,back_slash
84,34,1.3333,r1c0_bottom_left,back_slash
84,34,1.3333,r1c1_right,vertical
84,34,1.3333,r1c2_right,vertical
84,35,1.3333,r0c1_right,vertical
84,35,1.3333,r1c1_right,vertical
84,35,1.3333,r1c2_bottom_right,forward_slash
84,36,1.3333,r2c2_bottom_left,back_slash
84,36,1.6667,r1c1_bottom_left,back_slash
84,36,1.6667,r1c2_right,vertical
84,36,1.6667,r2c3_bottom_right,forward_slash
84,37,1.0,r0c1_bottom_left,back_slash
84,37,1.3333,r0c1_right,vertical
84,37,1.3333,r0c2_bottom_left,back_slash
84,37,1.3333,r1c1_right,vertical
84,37,1.3333,r1c2_bottom_right,forward_slash
84,38,1.3333,r0c3_bottom_right,forward_slash
84,38,1.3333,r1c0_bottom_right,forward_slash
84,38,1.3333,r1c1_right,vertical
84,38,1.3333,r2c1_bottom_left,back_slash
84,38,1.3333,r2c2_right,vertical
84,39,1.3333,r1c2_bottom_left,back_slash
84,39,1.3333,r2c1_right,vertical
84,39,1.3333,r2c2_bottom_right,forward_slash
84,39,1.3333,r3c0_right,vertical
84,40,1.3333,r1c1_bottom_right,forward_slash
84,40,1.3333,r2c2_right,vertical
84,40,1.6667,r1c0_bottom_right,forward_slash
84,40,1.6667,r2c1_bottom_left,back_slash
84,40,1.6667,r2c2_bottom_left,back_slash
84,41,1.3333,r0c0_bottom_right,forward_slash
84,41,1.3333,r1c2_bottom_left,back_slash
84,41,1.3333,r2c3_bottom_right,forward_slash
84,42,1.3333,r1c1_bottom_right,forward_slash
84,42,1.3333,r2c2_bottom_right,forward_slash
84,42,1.3333,r2c2_right,vertical
84,43,1.3333,r0c0_right,vertical
84,43,1.3333,r2c2_right,vertical
84,43,2.0,r0c0_bottom_right,forward_slash
84,43,2.0,r0c1_bottom_left,back_slash
84,43,2.0,r0c1_bottom_right,forward_slash
84,43,2.0,r0c2_bottom_right,forward_slash
84,43,2.0,r0c3_bottom_left,back_slash
84,43,2.0,r1c0_right,vertical
84,43,2.0,r1c1_bottom_left,back_slash
84,43,2.0,r1c1_bottom_right,forward_slash
84,43,2.0,r1c2_bottom_right,forward_slash
84,43,2.0,r2c1_right,vertical
84,44,1.6667,r0c3_bottom_left,back_slash
84,44,1.6667,r2c1_bottom_right,forward_slash
84,44,2.0,r0c0_right,vertical
84,44,2.0,r1c2_bottom_left,back_slash
84,44,2.0,r1c2_bottom_right,forward_slash
84,45,1.6667,r1c0_bottom_right,forward_slash
84,45,1.6667,r2c1_bottom_right,forward_slash
84,45,1.6667,r3c0_right,vertical
