participant,date,overall_time,trial_count,click_order,prompt_rt_sec,selection_rt_ms,pressed_object,line_width,top_x,top_y,bottom_x,bottom_y,line_id,line_orientation,selected_or_released,accuracy,possible_thinnest_lines,is_practice,is_anomaly_trial,anomaly_mid_x,anomaly_mid_y,anomaly_line_id,anomaly_group
59,2021_Oct_29_1030,0 days 00:07:56.797921000,7,2,13.463121200000387,2249.87,line,1.0,-9.19313414725039,-99.34668421095544,88.50858231593702,-169.02002631643316,r2c2_bottom_left,back_slash,selected,,5,False,True,39.657724084343315,55.48998684178341,r1c1_bottom_right,0
59,2021_Oct_29_1030,0 days 00:07:58.065993000,7,3,13.463121200000387,3517.942,line,1.3333,186.21029877912443,280.0,88.50858231593702,210.32665789452227,r0c2_bottom_right,forward_slash,selected,,5,False,True,39.657724084343315,55.48998684178341,r1c1_bottom_right,0
59,2021_Oct_29_1030,0 days 00:07:59.336205000,7,4,13.463121200000387,4788.154,submit,,,,,,,,,1.0,5,False,True,39.657724084343315,55.48998684178341,r1c1_bottom_right,0
59,2021_Oct_29_1030,0 days 00:08:21.807037000,8,1,20.53669339999942,1082.112,line,1.3333,186.21029877912443,-99.34668421095544,88.50858231593702,-169.02002631643316,r2c2_bottom_right,forward_slash,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:08:22.574389000,8,2,20.53669339999942,1849.464,line,1.0,88.50858231593702,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_left,back_slash,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:08:23.241578000,8,3,20.53669339999942,2516.6530000000002,line,1.3333,-204.5965670736252,280.0,-302.2982835368126,210.32665789452227,r0c0_bottom_right,forward_slash,selected,,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:08:24.877261000,8,4,20.53669339999942,4152.336,submit,,,,,,,,,1.0,5,False,False,,,,
59,2021_Oct_29_1030,0 days 00:08:38.674199000,9,1,11.711345699999583,983.432,line,1.3333,283.91201524231184,90.32665789452227,381.6137317054993,20.653315789044555,r1c3_bottom_left,back_slash,selected,,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:08:39.475223000,9,2,11.711345699999583,1784.4560000000001,line,1.3333,186.21029877912443,-99.34668421095544,283.91201524231184,-169.02002631643316,r2c3_bottom_left,back_slash,selected,,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:08:40.241596000,9,3,11.711345699999583,2550.8289999999997,line,1.6667,88.50858231593702,90.32665789452227,-9.19313414725039,20.653315789044555,r1c1_bottom_right,forward_slash,selected,,4,False,False,,,,
59,2021_Oct_29_1030,0 days 00:08:42.078515000,9,4,11.711345699999583,4387.748,submit,,,,,,,,,1.0,4,False,False,,,,
