"participant","trial_count","line_width","line_id","line_orientation","drop_marker"
79,77,1.3333,"r0c0_right","vertical","79_77"
79,77,1.3333,"r1c0_right","vertical","79_77"
79,77,1.3333,"r1c2_bottom_left","back_slash","79_77"
79,77,1.3333,"r3c0_right","vertical","79_77"
79,78,1.3333,"r0c0_bottom_right","forward_slash","79_78"
79,78,1.3333,"r0c3_bottom_right","forward_slash","79_78"
79,78,1.3333,"r2c3_bottom_right","forward_slash","79_78"
79,79,1,"r0c0_right","vertical","79_79"
79,79,1,"r1c0_bottom_right","forward_slash","79_79"
79,79,1.3333,"r2c2_right","vertical","79_79"
79,80,1.3333,"r1c2_bottom_left","back_slash","79_80"
79,80,1.3333,"r2c2_bottom_right","forward_slash","79_80"
79,80,1.6667,"r1c2_right","vertical","79_80"
79,80,1.6667,"r3c1_right","vertical","79_80"
79,81,1,"r2c3_bottom_left","back_slash","79_81"
79,81,1.3333,"r0c1_bottom_right","forward_slash","79_81"
79,81,1.3333,"r0c3_bottom_right","forward_slash","79_81"
