1.000000000000000000e+00	3.034652735000236135e+00
1.000000000000000000e+00	4.719931650000035006e+00
1.000000000000000000e+00	8.004777959999955783e+00
1.000000000000000000e+00	1.133755027299957874e+01
1.000000000000000000e+00	2.241034240299995872e+01
2.000000000000000000e+00	2.303760657899965736e+01
1.000000000000000000e+00	2.331047142399984295e+01
2.000000000000000000e+00	2.350364139100020111e+01
1.000000000000000000e+00	2.371857855500002188e+01
2.000000000000000000e+00	2.830437868999979401e+01
2.000000000000000000e+00	2.846334290100003273e+01
