"participant","date","trial_count","line_id","line_width","is_exterior","top_x","top_y","bottom_x","bottom_y","line_orientation"
90,"2021_Sep_22_1505",2,"r3c0_bottom_left",2.3333333,"True",-302.298283536813,-289.020026316433,-204.596567073625,-358.693368421911,"back_slash"
90,"2021_Sep_22_1505",2,"r3c0_bottom_right",2.3333333,"True",-106.894850610438,-289.020026316433,-204.596567073625,-358.693368421911,"forward_slash"
90,"2021_Sep_22_1505",2,"r3c0_right",2.3333,"False",-106.894850610438,-169.020026316433,-106.894850610438,-289.020026316433,"vertical"
90,"2021_Sep_22_1505",2,"r3c1_bottom_left",2.3333333,"True",-106.894850610438,-289.020026316433,-9.19313414725039,-358.693368421911,"back_slash"
90,"2021_Sep_22_1505",2,"r3c1_bottom_right",2.3333333,"True",88.508582315937,-289.020026316433,-9.19313414725039,-358.693368421911,"forward_slash"
90,"2021_Sep_22_1505",2,"r3c1_right",3,"False",88.508582315937,-169.020026316433,88.508582315937,-289.020026316433,"vertical"
90,"2021_Sep_22_1505",2,"r3c2_bottom_left",2.3333333,"True",88.508582315937,-289.020026316433,186.210298779124,-358.693368421911,"back_slash"
90,"2021_Sep_22_1505",2,"r3c2_bottom_right",2.3333333,"True",283.912015242312,-289.020026316433,186.210298779124,-358.693368421911,"forward_slash"
90,"2021_Sep_22_1505",2,"r3c2_right",3,"False",283.912015242312,-169.020026316433,283.912015242312,-289.020026316433,"vertical"
90,"2021_Sep_22_1505",2,"r3c3_bottom_left",2.3333333,"True",283.912015242312,-289.020026316433,381.613731705499,-358.693368421911,"back_slash"
90,"2021_Sep_22_1505",2,"r3c3_bottom_right",2.3333333,"True",479.315448168687,-289.020026316433,381.613731705499,-358.693368421911,"forward_slash"
90,"2021_Sep_22_1505",2,"r3c3_right",2.3333333,"True",479.315448168687,-169.020026316433,479.315448168687,-289.020026316433,"vertical"
90,"2021_Sep_22_1505",2,"r3c3_top_right",2.3333333,"True",381.613731705499,-99.3466842109554,479.315448168687,-169.020026316433,"back_slash"
90,"2021_Sep_22_1505",3,"r0c0_left",2.3333333,"True",-400,400,-400,280,"vertical"
90,"2021_Sep_22_1505",3,"r0c0_bottom_left",2.3333333,"True",-400,280,-302.298283536813,210.326657894522,"back_slash"
90,"2021_Sep_22_1505",3,"r0c0_bottom_right",2.6667,"False",-204.596567073625,280,-302.298283536813,210.326657894522,"forward_slash"
