"participant","trial_count","line_width","line_id","line_orientation","drop_marker"
10,2,1,"r1c2_right","vertical","10_2"
10,2,1.3333,"r0c0_bottom_right","forward_slash","10_2"
10,2,1.3333,"r2c0_bottom_right","forward_slash","10_2"
10,4,1,"r0c1_bottom_left","back_slash","10_4"
10,4,1,"r1c1_right","vertical","10_4"
10,4,1.3333,"r0c2_bottom_right","forward_slash","10_4"
10,4,1.3333,"r0c3_bottom_right","forward_slash","10_4"
10,7,1,"r0c0_right","vertical","10_7"
10,7,1.3333,"r0c1_right","vertical","10_7"
10,7,1.3333,"r1c1_bottom_right","forward_slash","10_7"
10,8,1,"r2c3_bottom_right","forward_slash","10_8"
10,8,1.3333,"r0c3_bottom_left","back_slash","10_8"
10,8,1.3333,"r1c2_bottom_right","forward_slash","10_8"
10,8,1.3333,"r2c0_bottom_right","forward_slash","10_8"
10,9,1,"r1c2_bottom_right","forward_slash","10_9"
10,9,1.3333,"r1c0_bottom_left","back_slash","10_9"
10,9,1.3333,"r1c2_bottom_left","back_slash","10_9"
10,10,1,"r0c3_bottom_right","forward_slash","10_10"
10,10,1.3333,"r0c1_bottom_left","back_slash","10_10"
10,10,1.3333,"r1c0_bottom_right","forward_slash","10_10"
10,10,1.3333,"r2c0_right","vertical","10_10"
10,11,1,"r0c3_bottom_right","forward_slash","10_11"
10,11,1.3333,"r2c2_bottom_left","back_slash","10_11"
10,11,1.6667,"r1c2_bottom_right","forward_slash","10_11"
10,12,1,"r1c0_bottom_right","forward_slash","10_12"
10,12,1,"r1c1_bottom_right","forward_slash","10_12"
10,12,1,"r3c0_right","vertical","10_12"
10,14,1,"r1c0_right","vertical","10_14"
10,14,1.6667,"r0c1_bottom_left","back_slash","10_14"
10,14,1.6667,"r2c1_bottom_left","back_slash","10_14"
10,15,1,"r1c0_bottom_left","back_slash","10_15"
10,15,1.3333,"r0c1_right","vertical","10_15"
10,15,1.3333,"r2c0_right","vertical","10_15"
10,15,1.3333,"r3c1_right","vertical","10_15"
10,16,1,"r1c0_bottom_right","forward_slash","10_16"
10,16,1.3333,"r2c1_bottom_right","forward_slash","10_16"
10,16,1.6667,"r1c0_bottom_left","back_slash","10_16"
10,16,1.6667,"r1c1_bottom_right","forward_slash","10_16"
10,17,1,"r0c2_bottom_left","back_slash","10_17"
10,17,1,"r1c2_bottom_left","back_slash","10_17"
10,17,1.3333,"r1c1_bottom_left","back_slash","10_17"
10,17,1.3333,"r1c1_bottom_right","forward_slash","10_17"
10,17,1.3333,"r2c2_bottom_right","forward_slash","10_17"
10,19,1.3333,"r1c1_right","vertical","10_19"
10,19,1.3333,"r3c2_right","vertical","10_19"
10,19,1.6667,"r0c0_bottom_right","forward_slash","10_19"
10,20,1,"r1c2_bottom_right","forward_slash","10_20"
10,20,1.3333,"r2c1_bottom_left","back_slash","10_20"
10,20,1.6667,"r0c3_bottom_right","forward_slash","10_20"
10,21,1.3333,"r0c1_bottom_right","forward_slash","10_21"
10,21,1.3333,"r0c3_bottom_left","back_slash","10_21"
10,21,1.3333,"r2c0_bottom_right","forward_slash","10_21"
10,22,1.3333,"r0c1_bottom_right","forward_slash","10_22"
10,22,1.3333,"r0c1_right","vertical","10_22"
10,22,1.3333,"r1c3_bottom_left","back_slash","10_22"
10,22,1.3333,"r2c3_bottom_left","back_slash","10_22"
10,22,1.3333,"r3c0_right","vertical","10_22"
10,23,1,"r2c1_bottom_left","back_slash","10_23"
10,23,1,"r3c2_right","vertical","10_23"
10,23,1.3333,"r0c2_bottom_left","back_slash","10_23"
10,23,1.3333,"r1c0_bottom_right","forward_slash","10_23"
10,24,1,"r3c0_right","vertical","10_24"
10,24,1.3333,"r1c1_bottom_right","forward_slash","10_24"
10,24,1.3333,"r1c1_right","vertical","10_24"
10,24,1.3333,"r2c2_bottom_right","forward_slash","10_24"
10,24,1.3333,"r3c1_right","vertical","10_24"
10,25,1.3333,"r0c2_right","vertical","10_25"
10,25,1.3333,"r1c0_bottom_left","back_slash","10_25"
10,25,1.3333,"r1c2_bottom_right","forward_slash","10_25"
10,25,1.3333,"r2c2_bottom_left","back_slash","10_25"
10,26,1.3333,"r3c0_right","vertical","10_26"
10,26,1.6667,"r1c2_right","vertical","10_26"
10,26,2,"r0c2_bottom_left","back_slash","10_26"
10,26,2,"r1c0_bottom_left","back_slash","10_26"
10,26,2,"r1c2_bottom_left","back_slash","10_26"
10,27,1.3333,"r1c1_bottom_right","forward_slash","10_27"
10,27,1.3333,"r2c2_bottom_right","forward_slash","10_27"
10,27,1.3333,"r2c3_bottom_right","forward_slash","10_27"
10,28,1.3333,"r2c0_right","vertical","10_28"
10,28,1.3333,"r3c1_right","vertical","10_28"
10,28,1.6667,"r2c0_bottom_right","forward_slash","10_28"
10,28,1.6667,"r3c0_right","vertical","10_28"
10,29,1,"r3c1_right","vertical","10_29"
10,29,1.3333,"r1c3_bottom_left","back_slash","10_29"
10,29,1.3333,"r2c2_right","vertical","10_29"
10,30,1,"r3c2_right","vertical","10_30"
10,30,1.3333,"r1c3_bottom_left","back_slash","10_30"
10,30,1.3333,"r2c1_right","vertical","10_30"
10,31,1,"r2c3_bottom_left","back_slash","10_31"
10,31,1.3333,"r1c1_right","vertical","10_31"
10,31,1.3333,"r1c2_right","vertical","10_31"
10,32,1,"r0c1_right","vertical","10_32"
10,32,1,"r2c3_bottom_left","back_slash","10_32"
10,32,1,"r3c2_right","vertical","10_32"
10,33,1,"r0c2_bottom_right","forward_slash","10_33"
10,33,1.3333,"r1c2_right","vertical","10_33"
10,33,1.3333,"r3c0_right","vertical","10_33"
10,33,1.3333,"r3c1_right","vertical","10_33"
10,34,1.3333,"r2c1_bottom_right","forward_slash","10_34"
10,34,1.6667,"r0c0_bottom_right","forward_slash","10_34"
10,34,1.6667,"r0c1_right","vertical","10_34"
10,34,1.6667,"r2c1_bottom_left","back_slash","10_34"
10,34,1.6667,"r2c2_bottom_right","forward_slash","10_34"
10,35,1.3333,"r0c1_bottom_right","forward_slash","10_35"
10,35,1.3333,"r0c1_right","vertical","10_35"
10,35,1.3333,"r1c3_bottom_left","back_slash","10_35"
