participant,trial_count,line_width,line_id,line_orientation
94,62,1.6667,r3c1_right,vertical
94,63,1.3333,r2c2_bottom_left,back_slash
94,63,2.0,r0c1_right,vertical
94,63,2.0,r1c0_bottom_left,back_slash
94,63,2.0,r1c0_bottom_right,forward_slash
94,63,2.0,r1c1_bottom_right,forward_slash
94,63,2.0,r2c1_bottom_left,back_slash
94,63,2.0,r2c3_bottom_left,back_slash
94,64,1.3333,r2c2_bottom_left,back_slash
94,64,1.3333,r3c2_right,vertical
94,64,1.6667,r1c0_right,vertical
94,64,1.6667,r2c2_bottom_right,forward_slash
94,64,1.6667,r2c2_right,vertical
94,64,1.6667,r2c3_bottom_left,back_slash
94,65,1.0,r2c1_bottom_left,back_slash
94,65,1.0,r2c3_bottom_left,back_slash
94,65,1.3333,r0c0_right,vertical
94,65,1.3333,r2c2_bottom_left,back_slash
94,66,1.3333,r1c0_bottom_left,back_slash
94,66,1.3333,r1c1_right,vertical
94,66,1.3333,r1c2_bottom_left,back_slash
94,66,1.3333,r1c3_bottom_left,back_slash
94,66,1.3333,r2c0_bottom_right,forward_slash
94,66,1.3333,r2c2_bottom_right,forward_slash
94,67,1.0,r1c0_bottom_right,forward_slash
94,67,1.0,r1c1_right,vertical
94,67,1.0,r2c2_bottom_left,back_slash
94,68,1.0,r1c0_bottom_left,back_slash
94,68,1.3333,r2c0_right,vertical
94,68,1.3333,r2c1_bottom_left,back_slash
94,68,1.3333,r2c1_bottom_right,forward_slash
94,68,1.3333,r3c0_right,vertical
94,69,1.3333,r0c1_bottom_right,forward_slash
94,69,1.3333,r2c0_right,vertical
94,69,1.3333,r2c1_right,vertical
94,69,1.3333,r2c3_bottom_left,back_slash
94,70,1.0,r0c3_bottom_left,back_slash
94,70,1.0,r2c0_right,vertical
94,70,1.3333,r1c3_bottom_left,back_slash
94,70,1.3333,r3c0_right,vertical
94,72,1.0,r1c2_right,vertical
94,72,1.0,r1c3_bottom_left,back_slash
94,72,1.3333,r1c1_bottom_left,back_slash
