"participant","date","overall_time","trial_count","click_order","prompt_rt_sec","selection_rt_ms","pressed_object","line_width","top_x","top_y","bottom_x","bottom_y","line_id","line_orientation","selected_or_released","accuracy","possible_thinnest_lines","is_practice","drop_marker","indecision_trial"
10,"2021_Oct_01_1059","0 days 00:31:04.465510000",2,1,18.0645066000002,980.533,"line",1.3333,-204.596567073625,-99.3466842109554,-302.298283536813,-169.020026316433,"r2c0_bottom_right","forward_slash","selected",NA,3,"False","10_2",0
10,"2021_Oct_01_1059","0 days 00:31:05.332162000",2,2,18.0645066000002,1847.185,"line",1.3333,-204.596567073625,280,-302.298283536813,210.326657894522,"r0c0_bottom_right","forward_slash","selected",NA,3,"False","10_2",0
10,"2021_Oct_01_1059","0 days 00:31:06.467754000",2,3,18.0645066000002,2982.777,"line",1,283.912015242312,210.326657894522,283.912015242312,90.3266578945223,"r1c2_right","vertical","selected",NA,3,"False","10_2",0
10,"2021_Oct_01_1059","0 days 00:31:08.071316000",2,4,18.0645066000002,4586.339,"submit",NA,NA,NA,NA,NA,"","","",1,3,"False","10_2",0
10,"2021_Oct_01_1059","0 days 00:31:59.290233000",4,1,10.2630254000001,499.617,"line",1,88.508582315937,210.326657894522,88.508582315937,90.3266578945223,"r1c1_right","vertical","selected",NA,4,"False","10_4",0
10,"2021_Oct_01_1059","0 days 00:32:00.722075000",4,2,10.2630254000001,1931.459,"line",1,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","selected",NA,4,"False","10_4",0
10,"2021_Oct_01_1059","0 days 00:32:06.628690000",4,3,10.2630254000001,7838.074,"line",1.3333,186.210298779124,280,88.508582315937,210.326657894522,"r0c2_bottom_right","forward_slash","selected",NA,4,"False","10_4",0
10,"2021_Oct_01_1059","0 days 00:32:07.564408000",4,4,10.2630254000001,8773.792,"submit",NA,NA,NA,NA,NA,"","","",1,4,"False","10_4",0
10,"2021_Oct_01_1059","0 days 00:33:31.726854000",7,1,12.6041823999994,494.944,"line",1,-204.596567073625,400,-204.596567073625,280,"r0c0_right","vertical","selected",NA,3,"False","10_7",0
10,"2021_Oct_01_1059","0 days 00:33:33.398530000",7,2,12.6041823999994,2166.62,"line",1.3333,88.508582315937,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_right","forward_slash","selected",NA,3,"False","10_7",0
10,"2021_Oct_01_1059","0 days 00:33:38.169668000",7,3,12.6041823999994,6937.758,"line",2,186.210298779124,280,283.912015242312,210.326657894522,"r0c3_bottom_left","back_slash","selected",NA,3,"False","10_7",0
10,"2021_Oct_01_1059","0 days 00:33:38.939001000",7,4,12.6041823999994,7707.091,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,3,"False","10_7",0
