stimulus,display,cor_mag_resp,cor_par_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,isi_blank0.started,isi_blank1.started,stimulus_text.started,stimulus_resp.started,blank_text.started,stimulus_resp.keys,stimulus_resp.rt,error_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.868742000078782,21.868742000078782,space,1.419537799898535,,,,,,,,,0,001,2022-07-08_10h14.25.839,device-switching_baseline,2022.2.1,59.90958446409757,
4,1,j,f,0,0,0,3,,,,,23.335381099954247,23.335381099954247,23.835169600090012,23.835169600090012,23.835169600090012,j,2.0200911997817457,,0,001,2022-07-08_10h14.25.839,device-switching_baseline,2022.2.1,59.90958446409757,
2,0,j,f,0,1,1,9,,,,,26.402238599956036,26.402238599956036,26.95226739998907,26.95226739998907,26.95226739998907,k,1.3229783999267966,28.335647500120103,0,001,2022-07-08_10h14.25.839,device-switching_baseline,2022.2.1,59.90958446409757,
6,0,k,d,0,2,2,12,,,,,28.86907310015522,28.86907310015522,29.38529620016925,29.38529620016925,29.38529620016925,j,0.597770299995318,30.035308100050315,0,001,2022-07-08_10h14.25.839,device-switching_baseline,2022.2.1,59.90958446409757,
4,0,j,f,0,3,3,11,,,,,30.5684392999392,30.5684392999392,31.068797999992967,31.068797999992967,31.068797999992967,j,0.8521711998619139,,0,001,2022-07-08_10h14.25.839,device-switching_baseline,2022.2.1,59.90958446409757,
7,1,k,f,0,4,4,5,,,,,32.45211219997145,32.45211219997145,32.98553690011613,32.98553690011613,32.98553690011613,k,0.7769927999470383,,0,001,2022-07-08_10h14.25.839,device-switching_baseline,2022.2.1,59.90958446409757,
8,1,k,d,0,5,5,6,,,,,34.30189689993858,34.30189689993858,34.852201000088826,34.852201000088826,34.852201000088826,k,2.282574199838564,,0,001,2022-07-08_10h14.25.839,device-switching_baseline,2022.2.1,59.90958446409757,
9,0,k,f,0,6,6,15,,,,,37.667812400031835,37.667812400031835,38.201092400122434,38.201092400122434,38.201092400122434,k,1.1866301998961717,,0,001,2022-07-08_10h14.25.839,device-switching_baseline,2022.2.1,59.90958446409757,
8,0,k,d,0,7,7,14,,,,,39.91858629998751,39.91858629998751,40.434942099964246,40.434942099964246,40.434942099964246,k,2.745028499746695,,0,001,2022-07-08_10h14.25.839,device-switching_baseline,2022.2.1,59.90958446409757,
3,1,j,d,0,8,8,2,,,,,43.71800810005516,43.71800810005516,44.25162660004571,44.25162660004571,44.25162660004571,j,1.5839070996735245,,0,001,2022-07-08_10h14.25.839,device-switching_baseline,2022.2.1,59.90958446409757,
2,1,j,f,0,9,9,1,,,,,46.368548800004646,46.368548800004646,46.90118860010989,46.90118860010989,46.90118860010989,j,1.298279199982062,,0,001,2022-07-08_10h14.25.839,device-switching_baseline,2022.2.1,59.90958446409757,
1,0,j,d,0,10,10,8,,,,,48.73439790005796,48.73439790005796,49.26786190015264,49.26786190015264,49.26786190015264,j,0.9786683998536319,,0,001,2022-07-08_10h14.25.839,device-switching_baseline,2022.2.1,59.90958446409757,
3,0,j,d,0,11,11,10,,,,,50.7843747001607,50.7843747001607,51.31758869998157,51.31758869998157,51.31758869998157,j,0.6364634998608381,,0,001,2022-07-08_10h14.25.839,device-switching_baseline,2022.2.1,59.90958446409757,
,,,,,,,,,,,,52.50121839996427,52.50121839996427,53.03425700007938,53.03425700007938,53.03425700007938,,,,,,,,,,
