stimulus,display,cor_mag_resp,cor_par_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,isi_blank0.started,isi_blank1.started,stimulus_text.started,stimulus_resp.started,blank_text.started,stimulus_resp.keys,stimulus_resp.rt,error_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,31.35904680006206,31.35904680006206,space,0.7846671000588685,,,,,,,,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
2,1,j,f,0,0,0,1,,,,,32.19312969991006,32.19312969991006,32.692342000082135,32.692342000082135,32.692342000082135,j,7.087076500058174,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
7,0,k,f,0,1,1,13,,,,,40.359567000065,40.359567000065,40.85967119992711,40.85967119992711,40.85967119992711,k,1.3501823998522013,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
8,1,k,d,0,2,2,6,,,,,42.742417899891734,42.742417899891734,43.27589839999564,43.27589839999564,43.27589839999564,j,1.4292770999018103,44.75962350005284,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
1,1,j,d,0,3,3,0,,,,,45.29259299999103,45.29259299999103,45.79495220002718,45.79495220002718,45.79495220002718,j,0.7662722000386566,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
8,0,k,d,0,4,4,14,,,,,47.10926009994,47.10926009994,47.642342699924484,47.642342699924484,47.642342699924484,k,0.9469210000243038,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
4,1,j,f,0,5,5,3,,,,,49.126313799992204,49.126313799992204,49.65886599989608,49.65886599989608,49.65886599989608,j,0.8940077000297606,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
2,0,j,f,0,6,6,9,,,,,51.109045800054446,51.109045800054446,51.642571799922734,51.642571799922734,51.642571799922734,j,1.0924955001100898,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
3,0,j,d,0,7,7,10,,,,,53.292903299909085,53.292903299909085,53.8257887000218,53.8257887000218,53.8257887000218,j,0.5337389998603612,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
1,0,j,d,0,8,8,8,,,,,54.90934960008599,54.90934960008599,55.44287210004404,55.44287210004404,55.44287210004404,j,0.6558735999278724,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
9,0,k,f,0,9,9,15,,,,,56.65943760005757,56.65943760005757,57.19195319991559,57.19195319991559,57.19195319991559,k,0.8869283001404256,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
9,1,k,f,0,10,10,7,,,,,58.64223510003649,58.64223510003649,59.175725399982184,59.175725399982184,59.175725399982184,k,1.3464589000213891,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
7,1,k,f,0,11,11,5,,,,,61.05946770007722,61.05946770007722,61.592354899970815,61.592354899970815,61.592354899970815,k,1.2298864999320358,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
6,1,k,d,0,12,12,4,,,,,63.37591949990019,63.37591949990019,63.90888449992053,63.90888449992053,63.90888449992053,k,0.7231707000173628,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
3,1,j,d,0,13,13,2,,,,,65.19194020004943,65.19194020004943,65.72557700006291,65.72557700006291,65.72557700006291,j,20.038937600096688,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
4,0,j,f,0,14,14,11,,,,,86.30831089988351,86.30831089988351,86.84215590008534,86.84215590008534,86.84215590008534,k,0.9232535001356155,87.8244123000186,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
6,0,k,d,0,15,15,12,,,,,88.3577890000306,88.3577890000306,88.85785920009948,88.85785920009948,88.85785920009948,k,1.7075566002167761,,0,001,2022-07-08_10h22.45.546,device-switching_baseline,2022.2.1,60.048951886847505,
,,,,,,,,,,,,91.10827419999987,91.10827419999987,91.64135210006498,91.64135210006498,91.64135210006498,,,,,,,,,,
