"participant","trial","is_anomaly_trial","anomaly_line_id","selected_line_1","selected_line_2","selected_line_3"
59,73,"False","","r1c2_bottom_right","r0c2_bottom_right","r2c1_bottom_left"
59,74,"True","r1c1_bottom_right","r0c3_bottom_right","r2c0_right","r0c2_bottom_left"
59,75,"False","","r2c0_right","r1c0_bottom_left","r0c2_bottom_left"
59,76,"True","r0c1_bottom_right","r2c2_bottom_right","r0c2_bottom_left","r0c0_bottom_right"
59,77,"False","","r2c3_bottom_right","r1c1_bottom_right","r1c0_bottom_left"
59,78,"False","","r2c2_bottom_left","r1c0_bottom_left","r0c0_bottom_right"
59,79,"True","r1c0_right","r1c1_right","r2c3_bottom_right","r2c1_right"
59,80,"False","","r2c3_bottom_left","r1c1_right","r1c0_bottom_right"
59,81,"False","","r2c2_bottom_left","r1c2_bottom_right","r0c1_bottom_right"
59,82,"False","","r0c2_bottom_left","r0c1_bottom_right","r1c0_bottom_right"
59,83,"True","r2c2_right","r0c1_bottom_right","r0c2_bottom_left","r2c3_bottom_right"
59,84,"False","","r2c1_bottom_right","r1c2_bottom_left","r0c3_bottom_right"
59,85,"False","","r1c2_bottom_left","r2c1_bottom_right","r0c0_bottom_right"
59,86,"False","","r1c3_bottom_left","r0c2_bottom_left","r0c0_bottom_right"
59,87,"False","","r0c1_bottom_right","r0c1_bottom_left","r0c0_bottom_right"
59,88,"True","r2c2_right","r0c3_bottom_left","r0c0_bottom_right","r2c1_bottom_right"
59,89,"False","","r2c3_bottom_right","r2c2_bottom_right","r2c0_bottom_right"
59,90,"True","r0c2_bottom_right","r1c3_bottom_left","r1c1_bottom_right","r0c1_bottom_left"
59,91,"False","","r1c2_right","r1c1_bottom_left","r2c1_bottom_left"
59,92,"True","r2c1_right","r1c1_bottom_right","r1c1_bottom_left","r1c0_bottom_right"
59,93,"True","r1c0_right","r2c2_bottom_right","r1c1_bottom_left","r0c2_bottom_left"
59,94,"False","","r1c1_bottom_right","r0c2_bottom_right","r0c0_bottom_right"
59,95,"False","","r0c3_bottom_left","r1c0_right","r2c1_bottom_right"
59,96,"False","","r2c1_bottom_right","r0c0_bottom_right","r0c2_bottom_right"
59,97,"False","","r2c1_bottom_right","r2c1_bottom_left","r3c1_right"
59,98,"False","","r0c3_bottom_left","r1c1_bottom_left","r0c2_bottom_left"
59,99,"False","","r1c1_bottom_right","r1c0_bottom_right","r2c1_bottom_left"
60,0,"False","","r2c3_bottom_right","r1c1_bottom_right","r0c1_bottom_left"
60,1,"True","r1c1_right","r1c0_right","r2c2_bottom_right","r2c3_bottom_right"
60,2,"False","","r1c1_bottom_left","r0c2_bottom_left","r1c0_bottom_right"
