line_orientation,soa,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
vertical,1,0,0,0,17,4.331786757998998,None,4.842310763000569,None,space,9.034644598999876,5.848916294000446,None,0,001,2021_Jul_09_1144,compare_lines,2021.1.4,60.007900399978624,
,,,,,,14.900124923000476,None,15.400050330999875,None,,,,,,,,,,,
